# cu        rbx       run       pd_ch     uhtr_ch   shunt     max_adc   max_fc    result    
2         0         1         0         0         31        109       2852.40   0         
2         0         1         1         1         31        92        1535.00   0         
3         0         1         0         0         31        201       53978.40  1         
3         0         1         1         1         31        189       39742.40  1         
5         0         1         0         0         31        117       3646.00   0         
5         0         1         1         1         31        103       2257.20   0         
6         0         1         0         0         31        185       33393.60  1         
6         0         1         1         1         31        169       20264.80  1         
7         0         1         0         0         31        188       38155.20  1         
7         0         1         1         1         31        168       19471.20  1         
8         0         1         0         0         31        196       46042.40  1         
8         0         1         1         1         31        178       27407.20  1         
9         0         1         0         0         31        153       11729.60  1         
9         0         1         1         1         31        141       7458.40   1         
10        9         1         0         24        31        163       15697.60  1         
10        9         1         1         25        31        151       10936.00  1         
11        0         1         0         0         31        195       44455.20  1         
11        0         1         1         1         31        181       29788.00  1         
12        0         1         0         0         31        200       52391.20  1         
12        0         1         1         1         31        198       49216.80  1         
13        0         1         0         0         31        201       53978.40  1         
13        0         1         1         1         31        200       52391.20  1         
14        0         1         0         0         31        199       50804.00  1         
14        0         1         1         1         31        195       44455.20  1         
15        0         1         0         0         31        173       23439.20  1         
15        0         1         1         1         31        158       13713.60  1         
16        7         1         0         0         31        156       12920.00  1         
16        7         1         1         1         31        140       7260.00   1         
17        0         1         0         0         31        203       57152.80  1         
17        0         1         1         1         31        203       57152.80  1         
18        0         1         0         0         31        201       53978.40  1         
18        0         1         1         1         31        199       50804.00  1         
19        0         1         0         0         31        201       53978.40  1         
19        0         1         1         1         31        191       42916.80  1         
20        0         1         0         0         31        171       21852.00  1         
20        0         1         1         1         31        157       13316.80  1         
22        12        1         0         60        31        144       8158.40   1         
22        12        1         1         61        31        124       4684.40   0         
23        0         1         0         0         31        201       53978.40  1         
23        0         1         1         1         31        199       50804.00  1         
24        0         1         0         0         31        201       53978.40  1         
24        0         1         1         1         31        198       49216.80  1         
25        0         1         0         0         31        199       50804.00  1         
25        0         1         1         1         31        198       49216.80  1         
26        13        1         0         72        31        105       2455.60   0         
26        13        1         1         73        31        88        1336.60   0         
27        0         1         0         0         31        200       52391.20  1         
27        0         1         1         1         31        199       50804.00  1         
29        0         1         0         0         31        165       17090.40  1         
29        0         1         1         1         31        148       9745.60   1         
30        0         1         0         0         31        200       52391.20  1         
30        0         1         1         1         31        194       42868.00  1         
31        0         1         0         0         31        203       57152.80  1         
31        0         1         1         1         31        201       53978.40  1         
32        0         1         0         0         31        166       17884.00  1         
32        0         1         1         1         31        148       9745.60   1         
33        0         1         0         0         31        170       21058.40  1         
33        0         1         1         1         31        158       13713.60  1         
34        0         1         0         0         31        202       55565.60  1         
34        0         1         1         1         31        202       55565.60  1         
35        0         1         0         0         31        203       57152.80  1         
35        0         1         1         1         31        202       55565.60  1         
36        0         1         0         0         31        198       49216.80  1         
36        0         1         1         1         31        190       41329.60  1         
37        0         1         0         0         31        188       38155.20  1         
37        0         1         1         1         31        173       23439.20  1         
38        0         1         0         0         31        200       52391.20  1         
38        0         1         1         1         31        200       52391.20  1         
39        0         1         0         0         31        202       55565.60  1         
39        0         1         1         1         31        200       52391.20  1         
40        0         1         0         0         31        196       46042.40  1         
40        0         1         1         1         31        182       30581.60  1         
41        0         1         0         0         31        171       21852.00  1         
41        0         1         1         1         31        155       12523.20  1         
42        0         1         0         0         31        106       2554.80   0         
42        0         1         1         1         31        95        1683.80   0         
43        0         1         0         0         31        201       53978.40  1         
43        0         1         1         1         31        200       52391.20  1         
44        0         1         0         0         31        201       53978.40  1         
44        0         1         1         1         31        195       44455.20  1         
